AquaCrop 4.0 (June 2012) - Output created on (date) : 26.07.2020   at (time) : 09:52:51
Electrical conductivity of the saturated soil-paste extract (dS/m) at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage      ECe1        ECe2        ECe3        ECe4        ECe5        ECe6        ECe7        ECe8        ECe9       ECe10       ECe11       ECe12
    11    11  2011    21    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12    11  2011    22    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13    11  2011    23    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14    11  2011    24    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15    11  2011    25    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16    11  2011    26    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17    11  2011    27    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18    11  2011    28    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19    11  2011    29    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20    11  2011    30    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21    11  2011    31    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22    11  2011    32    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    11  2011    33    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24    11  2011    34    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25    11  2011    35    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26    11  2011    36    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27    11  2011    37    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28    11  2011    38    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29    11  2011    39    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30    11  2011    40    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1    12  2011    41    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2    12  2011    42    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3    12  2011    43    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4    12  2011    44    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5    12  2011    45    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6    12  2011    46    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7    12  2011    47    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8    12  2011    48    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9    12  2011    49    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10    12  2011    50    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11    12  2011    51    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12    12  2011    52    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13    12  2011    53    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14    12  2011    54    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15    12  2011    55    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16    12  2011    56    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17    12  2011    57    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18    12  2011    58    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19    12  2011    59    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20    12  2011    60    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21    12  2011    61    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22    12  2011    62    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23    12  2011    63    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24    12  2011    64    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25    12  2011    65    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26    12  2011    66    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27    12  2011    67    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28    12  2011    68    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29    12  2011    69    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30    12  2011    70    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    31    12  2011    71    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1     1  2012    72    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2     1  2012    73    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3     1  2012    74    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4     1  2012    75    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5     1  2012    76    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6     1  2012    77    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7     1  2012    78    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8     1  2012    79    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9     1  2012    80    3        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10     1  2012    81    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11     1  2012    82    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12     1  2012    83    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13     1  2012    84    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14     1  2012    85    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15     1  2012    86    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16     1  2012    87    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17     1  2012    88    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18     1  2012    89    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19     1  2012    90    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20     1  2012    91    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21     1  2012    92    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22     1  2012    93    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23     1  2012    94    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24     1  2012    95    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25     1  2012    96    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    26     1  2012    97    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    27     1  2012    98    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    28     1  2012    99    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    29     1  2012   100    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    30     1  2012   101    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    31     1  2012   102    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     1     2  2012   103    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     2     2  2012   104    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     3     2  2012   105    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     4     2  2012   106    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     5     2  2012   107    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     6     2  2012   108    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     7     2  2012   109    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     8     2  2012   110    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
     9     2  2012   111    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    10     2  2012   112    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    11     2  2012   113    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    12     2  2012   114    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    13     2  2012   115    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14     2  2012   116    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15     2  2012   117    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16     2  2012   118    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17     2  2012   119    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18     2  2012   120    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19     2  2012   121    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20     2  2012   122    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21     2  2012   123    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22     2  2012   124    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    23     2  2012   125    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    24     2  2012   126    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    25     2  2012   127    4        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
